"Date","Player_1","Player_2","Winner","Rank_1","Rank_2","Odd_1","Odd_2","Court","Five_Set","Match_Importance","Opponent","Odd_Djo","Odd_Opp","Rank_Djo","Rank_Opp","Win","Odd_Pred","Grass","Clay","Indoor","Hard","Odd_Acc","Opp_Court_Perc","Opp_Set_Perc","H2H_Djo","Pre_Djo","Pre5_Djo","Pre_Opp","Pre5_Opp","Log_Rank_Djo","Log_Rank_Opp"
"2006-02-21","Djokovic N.","Seppi A.","Djokovic N.",72,53,1.5,2.5,"Hard Indoor",0,90,"Seppi A.",1.5,2.5,72,53,1,1,0,0,1,0,1,40,52.1739130434783,50,0,0.4,0,0.6,4.27666611901606,3.97029191355212
"2006-02-23","Henman T.","Djokovic N.","Djokovic N.",40,72,1.57,2.25,"Hard Indoor",0,90,"Henman T.",2.25,1.57,72,40,1,0,0,0,1,0,0,63.8888888888889,64.7398843930636,50,1,0.6,1,0.4,4.27666611901606,3.68887945411394
"2006-02-24","Djokovic N.","Stepanek R.","Stepanek R.",72,23,2.37,1.53,"Hard Indoor",0,180,"Stepanek R.",2.37,1.53,72,23,0,0,0,0,1,0,1,60.6060606060606,55.6338028169014,50,1,0.6,1,0.6,4.27666611901606,3.13549421592915
"2006-03-11","Benneteau J.","Djokovic N.","Benneteau J.",88,67,2.37,1.53,"Hard Outdoor",0,90,"Benneteau J.",1.53,2.37,67,88,0,1,0,0,0,1,0,34.6153846153846,40.8163265306122,50,0,0.4,0,0.6,4.20469261939097,4.47733681447821
"2006-03-24","Djokovic N.","Mathieu P.H.","Djokovic N.",66,37,2,1.72,"Hard Outdoor",0,90,"Mathieu P.H.",2,1.72,66,37,1,0,0,0,0,1,0,52.2727272727273,49,50,0,0.4,0,0.4,4.18965474202643,3.61091791264422
"2006-03-25","Coria G.","Djokovic N.","Coria G.",7,66,2.1,1.66,"Hard Outdoor",0,90,"Coria G.",1.66,2.1,66,7,0,1,0,0,0,1,0,63.6363636363636,71.2820512820513,50,1,0.6,0,0.4,4.18965474202643,1.94591014905531
"2006-04-17","Djokovic N.","Federer R.","Federer R.",67,1,8.5,1.05,"Clay",0,90,"Federer R.",8.5,1.05,67,1,0,0,0,1,0,0,1,77.6315789473684,84.3511450381679,50,0,0.4,1,1,4.20469261939097,0
"2006-04-24","Gimeno-Traver D.","Djokovic N.","Gimeno-Traver D.",178,66,3.25,1.28,"Clay",0,90,"Gimeno-Traver D.",1.28,3.25,66,178,0,1,0,1,0,0,0,0,0,50,0,0.2,0,0,4.18965474202643,5.18178355029209
"2006-05-15","Coria G.","Djokovic N.","Djokovic N.",21,71,2,1.72,"Clay",0,90,"Coria G.",1.72,2,71,21,1,1,0,1,0,0,1,77.9310344827586,70.2439024390244,0,0,0.2,0,0.2,4.26267987704132,3.04452243772342
"2006-05-17","Verdasco F.","Djokovic N.","Verdasco F.",34,71,1.72,2,"Clay",0,90,"Verdasco F.",2,1.72,71,34,0,0,0,1,0,0,1,57.7464788732394,51.2396694214876,0,1,0.4,1,0.6,4.26267987704132,3.52636052461616
"2006-06-01","Gonzalez F.","Djokovic N.","Djokovic N.",9,63,1.22,4,"Clay",1,90,"Gonzalez F.",4,1.22,63,9,1,0,0,1,0,0,0,61,51.3513513513513,0,0,0.2,1,0.6,4.14313472639153,2.19722457733622
"2006-06-03","Djokovic N.","Haas T.","Djokovic N.",63,25,1.61,2.2,"Clay",1,180,"Haas T.",1.61,2.2,63,25,1,1,0,1,0,0,1,63.4920634920635,68.8888888888889,50,1,0.4,1,0.6,4.14313472639153,3.2188758248682
"2006-06-05","Monfils G.","Djokovic N.","Djokovic N.",28,63,2.25,1.57,"Clay",1,360,"Monfils G.",1.57,2.25,63,28,1,1,0,1,0,0,1,57.6923076923077,54.5454545454545,100,1,0.6,1,0.6,4.14313472639153,3.3322045101752
"2006-06-18","Waske A.","Djokovic N.","Djokovic N.",89,40,2.37,1.53,"Grass",0,45,"Waske A.",1.53,2.37,40,89,1,1,1,0,0,0,1,33.3333333333333,33.3333333333333,50,1,0.8,0,0.2,3.68887945411394,4.48863636973214
"2006-06-21","Djokovic N.","Hernych J.","Hernych J.",40,128,1.39,2.75,"Grass",0,45,"Hernych J.",1.39,2.75,40,128,0,1,1,0,0,0,0,50,43.75,50,1,0.8,1,0.4,3.68887945411394,4.85203026391962
"2006-06-27","Goldstein P.","Djokovic N.","Djokovic N.",65,39,2.75,1.39,"Grass",1,90,"Goldstein P.",1.39,2.75,39,65,1,1,1,0,0,0,1,50,22.2222222222222,0,0,0.8,0,0.2,3.66356164612965,4.17438726989564
"2006-06-29","Robredo T.","Djokovic N.","Djokovic N.",8,39,2,1.72,"Grass",1,90,"Robredo T.",1.72,2,39,8,1,1,1,0,0,0,1,59.2592592592593,63.9344262295082,50,1,0.8,1,0.6,3.66356164612965,2.07944154167984
"2006-06-30","Djokovic N.","Youzhny M.","Djokovic N.",39,41,1.44,2.62,"Grass",1,180,"Youzhny M.",1.44,2.62,39,41,1,1,1,0,0,0,1,61.2903225806452,56.25,50,1,0.8,1,0.4,3.66356164612965,3.71357206670431
"2006-07-03","Djokovic N.","Ancic M.","Ancic M.",39,10,3,1.36,"Grass",1,360,"Ancic M.",3,1.36,39,10,0,0,1,0,0,0,1,75,67.4418604651163,100,1,0.8,1,1,3.66356164612965,2.30258509299405
"2006-07-17","Djokovic N.","Pashanski B.","Djokovic N.",36,73,1.16,4.5,"Clay",0,45,"Pashanski B.",1.16,4.5,36,73,1,1,0,1,0,0,1,40.9090909090909,36,50,0,0.6,0,0,3.58351893845611,4.29045944114839
"2006-07-20","Djokovic N.","Zib T.","Djokovic N.",36,127,1.1,6.5,"Clay",0,45,"Zib T.",1.1,6.5,36,127,1,1,0,1,0,0,1,29.0322580645161,29.5774647887324,50,1,0.8,1,0.4,3.58351893845611,4.84418708645859
"2006-07-21","Djokovic N.","Gicquel M.","Djokovic N.",36,87,1.11,6,"Clay",0,90,"Gicquel M.",1.11,6,36,87,1,1,0,1,0,0,1,55.5555555555556,60,50,1,0.8,1,0.6,3.58351893845611,4.46590811865458
"2006-07-23","Djokovic N.","Massu N.","Djokovic N.",36,37,1.61,2.2,"Clay",0,250,"Massu N.",1.61,2.2,36,37,1,1,0,1,0,0,1,63.5135135135135,58.252427184466,50,1,0.8,1,0.8,3.58351893845611,3.61091791264422
"2006-07-25","Djokovic N.","Belic L.","Djokovic N.",28,1543,1.03,10,"Clay",0,45,"Belic L.",1.03,10,28,1543,1,1,0,1,0,0,1,0,0,50,1,0.8,0,0,3.3322045101752,7.34148385236316
"2006-07-27","Ianni S.","Djokovic N.","Djokovic N.",559,28,12,1.02,"Clay",0,45,"Ianni S.",1.02,12,28,559,1,1,0,1,0,0,1,0,0,50,1,1,0,0,3.3322045101752,6.3261494731551
"2006-07-29","Djokovic N.","Vanek J.","Djokovic N.",28,110,1.1,6.5,"Clay",0,90,"Vanek J.",1.1,6.5,28,110,1,1,0,1,0,0,1,39.344262295082,39.2857142857143,50,1,1,1,0.4,3.3322045101752,4.70048036579242
"2006-07-29","Djokovic N.","Moya C.","Djokovic N.",28,42,1.66,2.1,"Clay",0,150,"Moya C.",1.66,2.1,28,42,1,1,0,1,0,0,1,74.054054054054,70.1754385964912,50,1,1,1,0.8,3.3322045101752,3.73766961828337
"2006-08-15","Djokovic N.","Nieminen J.","Djokovic N.",24,15,1.72,2,"Hard Outdoor",0,90,"Nieminen J.",1.72,2,24,15,1,1,0,0,0,1,1,58.3333333333333,58.7628865979381,50,1,1,0,0.6,3.17805383034795,2.70805020110221
"2006-08-16","Serra F.","Djokovic N.","Serra F.",52,24,3.5,1.28,"Hard Outdoor",0,90,"Serra F.",1.28,3.5,24,52,0,1,0,0,0,1,0,47.0588235294118,48.8372093023256,50,1,1,1,0.2,3.17805383034795,3.95124371858143
"2006-08-28","Djokovic N.","Young D.","Djokovic N.",23,577,1.03,11,"Hard Outdoor",1,90,"Young D.",1.03,11,23,577,1,1,0,0,0,1,1,0,0,50,0,0.8,0,0,3.13549421592915,6.3578422665081
"2006-08-31","Djokovic N.","Fish M.","Djokovic N.",23,60,1.53,2.37,"Hard Outdoor",1,90,"Fish M.",1.53,2.37,23,60,1,1,0,0,0,1,1,53.3333333333333,48.1481481481481,50,1,0.8,1,0.6,3.13549421592915,4.0943445622221
"2006-09-03","Djokovic N.","Hewitt L.","Hewitt L.",23,17,2.1,1.66,"Hard Outdoor",1,180,"Hewitt L.",2.1,1.66,23,17,0,0,0,0,0,1,1,77.8947368421053,78.2178217821782,50,1,0.8,1,0.8,3.13549421592915,2.83321334405622
"2006-10-03","Mahut N.","Djokovic N.","Djokovic N.",67,22,3.5,1.25,"Hard Indoor",0,45,"Mahut N.",1.25,3.5,22,67,1,1,0,0,1,0,1,20,33.3333333333333,50,0,0.6,1,0.4,3.09104245335832,4.20469261939097
"2006-10-05","Bracciali D.","Djokovic N.","Djokovic N.",66,22,4.33,1.19,"Hard Indoor",0,45,"Bracciali D.",1.19,4.33,22,66,1,1,0,0,1,0,1,75,45.4545454545455,50,1,0.6,1,0.2,3.09104245335832,4.18965474202643
"2006-10-06","Clemens T.","Djokovic N.","Djokovic N.",265,22,7.5,1.07,"Hard Indoor",0,90,"Clemens T.",1.07,7.5,22,265,1,1,0,0,1,0,1,100,100,50,1,0.8,1,0.4,3.09104245335832,5.57972982598622
"2006-10-07","Grosjean S.","Djokovic N.","Djokovic N.",35,22,2.5,1.5,"Hard Indoor",0,150,"Grosjean S.",1.5,2.5,22,35,1,1,0,0,1,0,1,67.3076923076923,60,0,1,0.8,1,0.8,3.09104245335832,3.55534806148941
"2006-10-08","Djokovic N.","Melzer J.","Djokovic N.",22,48,1.33,3.25,"Hard Indoor",0,250,"Melzer J.",1.33,3.25,22,48,1,1,0,0,1,0,1,44.8275862068966,50.9803921568627,50,1,0.8,1,1,3.09104245335832,3.87120101090789
"2006-10-11","Djokovic N.","Zib T.","Djokovic N.",16,146,1.08,6.5,"Hard Indoor",0,90,"Zib T.",1.08,6.5,16,146,1,1,0,0,1,0,1,11.1111111111111,29.3333333333333,100,1,1,0,0.4,2.77258872223978,4.98360662170834
"2006-10-12","Wawrinka S.","Djokovic N.","Wawrinka S.",44,16,3,1.36,"Hard Indoor",0,90,"Wawrinka S.",1.36,3,16,44,0,1,0,0,1,0,0,50,49.1803278688525,50,1,1,1,0.6,2.77258872223978,3.78418963391826
"2006-10-18","Gasquet R.","Djokovic N.","Djokovic N.",27,17,1.57,2.25,"Hard Indoor",0,90,"Gasquet R.",2.25,1.57,17,27,1,0,0,0,1,0,0,62.5,62.6373626373626,50,0,0.8,1,0.6,2.83321334405622,3.29583686600433
"2006-10-19","Djokovic N.","Murray A.","Djokovic N.",17,19,2.1,1.66,"Hard Indoor",0,180,"Murray A.",2.1,1.66,17,19,1,0,0,0,1,0,0,81.25,61.9047619047619,50,1,0.8,1,0.4,2.83321334405622,2.94443897916644
"2006-10-20","Gonzalez F.","Djokovic N.","Gonzalez F.",10,17,2.1,1.66,"Hard Indoor",0,360,"Gonzalez F.",1.66,2.1,17,10,0,1,0,0,1,0,0,56.6666666666667,60,50,1,0.8,1,0.8,2.83321334405622,2.30258509299405
"2007-01-02","Djokovic N.","Hajek J.","Djokovic N.",16,76,1.08,6.5,"Hard Outdoor",0,45,"Hajek J.",1.08,6.5,16,76,1,1,0,0,0,1,1,25,0,50,0,0.6,0,0.2,2.77258872223978,4.33073334028633
"2007-01-03","Jones A.","Djokovic N.","Djokovic N.",200,16,6.5,1.08,"Hard Outdoor",0,45,"Jones A.",1.08,6.5,16,200,1,1,0,0,0,1,1,50,100,50,1,0.6,1,0.2,2.77258872223978,5.29831736654804
"2007-01-05","Goldstein P.","Djokovic N.","Djokovic N.",70,16,4.5,1.16,"Hard Outdoor",0,90,"Goldstein P.",1.16,4.5,16,70,1,1,0,0,0,1,1,42.3076923076923,42.3076923076923,50,1,0.8,1,0.6,2.77258872223978,4.24849524204936
"2007-01-06","Djokovic N.","Johansson J.","Djokovic N.",16,193,1.57,2.25,"Hard Outdoor",0,150,"Johansson J.",1.57,2.25,16,193,1,1,0,0,0,1,1,63.1578947368421,58.3333333333333,50,1,0.8,1,0.6,2.77258872223978,5.26269018890489
"2007-01-07","Guccione C.","Djokovic N.","Djokovic N.",153,16,4,1.22,"Hard Outdoor",0,250,"Guccione C.",1.22,4,16,153,1,1,0,0,0,1,1,53.3333333333333,62.5,50,1,0.8,1,0.8,2.77258872223978,5.03043792139244
"2007-01-15","Massu N.","Djokovic N.","Djokovic N.",43,15,4,1.22,"Hard Outdoor",1,90,"Massu N.",1.22,4,15,43,1,1,0,0,0,1,1,49.2957746478873,51.2820512820513,100,1,1,0,0.2,2.70805020110221,3.76120011569356
"2007-01-17","Lopez F.","Djokovic N.","Djokovic N.",79,15,5,1.14,"Hard Outdoor",1,90,"Lopez F.",1.14,5,15,79,1,1,0,0,0,1,1,50,58.695652173913,50,1,1,1,0.4,2.70805020110221,4.36944785246702
"2007-01-19","Udomchoke D.","Djokovic N.","Djokovic N.",102,15,8,1.06,"Hard Outdoor",1,180,"Udomchoke D.",1.06,8,15,102,1,1,0,0,0,1,1,31.5789473684211,42.8571428571429,50,1,1,1,0.6,2.70805020110221,4.62497281328427
"2007-01-21","Djokovic N.","Federer R.","Federer R.",15,1,9,1.05,"Hard Outdoor",1,360,"Federer R.",9,1.05,15,1,0,0,0,0,0,1,1,87.1287128712871,84.7826086956522,0,1,1,1,1,2.70805020110221,0
"2007-02-12","Djokovic N.","Youzhny M.","Youzhny M.",14,22,1.5,2.5,"Hard Indoor",0,45,"Youzhny M.",1.5,2.5,14,22,0,1,0,0,1,0,0,48.1481481481481,51.0869565217391,100,0,0.8,0,0.6,2.63905732961526,3.09104245335832
"2007-02-19","Serra F.","Djokovic N.","Djokovic N.",67,14,4.5,1.16,"Hard Indoor",0,90,"Serra F.",1.16,4.5,14,67,1,1,0,0,1,0,1,33.3333333333333,50,0,0,0.6,0,0.4,2.63905732961526,4.20469261939097
"2007-02-21","Djokovic N.","Pavel A.","Djokovic N.",14,120,1.16,4.5,"Hard Indoor",0,90,"Pavel A.",1.16,4.5,14,120,1,1,0,0,1,0,1,50,50.7853403141361,50,1,0.6,1,0.4,2.63905732961526,4.78749174278205
"2007-02-23","Djokovic N.","Robredo T.","Djokovic N.",14,7,1.61,2.2,"Hard Indoor",0,180,"Robredo T.",1.61,2.2,14,7,1,1,0,0,1,0,1,52.3809523809524,63.2727272727273,100,1,0.6,1,0.8,2.63905732961526,1.94591014905531
"2007-02-24","Djokovic N.","Youzhny M.","Youzhny M.",14,22,1.66,2.1,"Hard Indoor",0,300,"Youzhny M.",1.66,2.1,14,22,0,1,0,0,1,0,0,54.5454545454545,52.1052631578947,50,1,0.6,1,0.8,2.63905732961526,3.09104245335832
"2007-02-27","Djokovic N.","Vliegen K.","Djokovic N.",14,49,1.25,3.5,"Hard Outdoor",0,90,"Vliegen K.",1.25,3.5,14,49,1,1,0,0,0,1,1,51.6129032258064,53.4883720930233,50,0,0.6,0,0.4,2.63905732961526,3.89182029811063
"2007-02-28","Schuettler R.","Djokovic N.","Djokovic N.",98,14,7,1.08,"Hard Outdoor",0,90,"Schuettler R.",1.08,7,14,98,1,1,0,0,0,1,1,58.3892617449664,54.0856031128405,50,1,0.8,1,0.4,2.63905732961526,4.58496747867057
"2007-03-01","Djokovic N.","Federer R.","Federer R.",14,1,9,1.04,"Hard Outdoor",0,180,"Federer R.",9,1.04,14,1,0,0,0,0,0,1,1,87.5,86,0,1,0.8,1,1,2.63905732961526,0
"2007-03-12","Ginepri R.","Djokovic N.","Djokovic N.",43,13,3.39,1.3,"Hard Outdoor",0,90,"Ginepri R.",1.3,3.39,13,43,1,1,0,0,0,1,1,54.4715447154472,53.1428571428571,100,0,0.6,1,0.6,2.56494935746154,3.76120011569356
"2007-03-12","Korolev E.","Djokovic N.","Djokovic N.",71,13,3.75,1.25,"Hard Outdoor",0,180,"Korolev E.",1.25,3.75,13,71,1,1,0,0,0,1,1,40,47.6190476190476,50,1,0.6,1,0.6,2.56494935746154,4.26267987704132
"2007-03-14","Benneteau J.","Djokovic N.","Djokovic N.",46,13,4,1.22,"Hard Outdoor",0,180,"Benneteau J.",1.22,4,13,46,1,1,0,0,0,1,1,40.4255319148936,42.8571428571429,0,1,0.8,1,0.6,2.56494935746154,3.8286413964891
"2007-03-16","Djokovic N.","Ferrer D.","Djokovic N.",13,15,1.44,2.75,"Hard Outdoor",0,360,"Ferrer D.",1.44,2.75,13,15,1,1,0,0,0,1,1,56.25,55.8823529411765,0,1,0.8,1,0.6,2.56494935746154,2.70805020110221
"2007-03-18","Murray A.","Djokovic N.","Djokovic N.",14,13,2.1,1.72,"Hard Outdoor",0,600,"Murray A.",1.72,2.1,13,14,1,1,0,0,0,1,1,65.9574468085106,67.0731707317073,100,1,0.8,1,0.8,2.56494935746154,2.63905732961526
"2007-03-18","Nadal R.","Djokovic N.","Nadal R.",2,13,1.36,3.2,"Hard Outdoor",1,1000,"Nadal R.",3.2,1.36,13,2,0,0,0,0,0,1,1,74.1176470588235,81.0344827586207,50,1,1,1,1,2.56494935746154,0.693147180559945
"2007-03-23","Bracciali D.","Djokovic N.","Djokovic N.",82,10,6,1.11,"Hard Outdoor",0,90,"Bracciali D.",1.11,6,10,82,1,1,0,0,0,1,1,27.2727272727273,43.1818181818182,100,0,0.8,1,0.6,2.30258509299405,4.40671924726425
"2007-03-25","Llodra M.","Djokovic N.","Djokovic N.",76,10,6,1.11,"Hard Outdoor",0,180,"Llodra M.",1.11,6,10,76,1,1,0,0,0,1,1,40.8163265306122,45.3488372093023,50,1,0.8,1,0.6,2.30258509299405,4.33073334028633
"2007-03-28","Djokovic N.","Lopez F.","Djokovic N.",10,84,1.14,5,"Hard Outdoor",0,180,"Lopez F.",1.14,5,10,84,1,1,0,0,0,1,1,51.5151515151515,49.238578680203,100,1,0.8,1,0.8,2.30258509299405,4.43081679884331
"2007-03-29","Djokovic N.","Nadal R.","Djokovic N.",10,2,4,1.25,"Hard Outdoor",0,360,"Nadal R.",4,1.25,10,2,1,0,0,0,0,1,0,75,80.2395209580838,0,1,0.8,1,1,2.30258509299405,0.693147180559945
"2007-03-30","Murray A.","Djokovic N.","Djokovic N.",12,10,2.25,1.61,"Hard Outdoor",0,600,"Murray A.",1.61,2.25,10,12,1,1,0,0,0,1,1,66.6666666666667,67.4418604651163,100,1,0.8,1,0.8,2.30258509299405,2.484906649788
"2007-04-01","Canas G.","Djokovic N.","Djokovic N.",55,10,2.25,1.61,"Hard Outdoor",1,1000,"Canas G.",1.61,2.25,10,55,1,1,0,0,0,1,1,67.0886075949367,60,50,1,1,1,1,2.30258509299405,4.00733318523247
"2007-04-18","Djokovic N.","Gaudio G.","Djokovic N.",7,45,1.19,4.33,"Clay",0,90,"Gaudio G.",1.19,4.33,7,45,1,1,0,1,0,0,1,71.3615023474178,63.8888888888889,50,1,1,1,0.6,1.94591014905531,3.80666248977032
"2007-04-19","Djokovic N.","Ferrer D.","Ferrer D.",7,16,1.5,2.5,"Clay",0,180,"Ferrer D.",1.5,2.5,7,16,0,1,0,1,0,0,0,61.3636363636364,56.1904761904762,50,1,1,1,0.8,1.94591014905531,2.77258872223978
"2007-04-30","Djokovic N.","Andreev I.","Djokovic N.",5,177,1.3,3.39,"Clay",0,45,"Andreev I.",1.3,3.39,5,177,1,1,0,1,0,0,1,52.8571428571429,50,50,0,0.8,0,0.4,1.6094379124341,5.17614973257383
"2007-05-02","Ventura S.","Djokovic N.","Djokovic N.",232,5,7,1.08,"Clay",0,45,"Ventura S.",1.08,7,5,232,1,1,0,1,0,0,1,55.5555555555556,51.2820512820513,50,1,0.8,1,0.8,1.6094379124341,5.44673737166631
"2007-05-04","Djokovic N.","Garcia-Lopez G.","Djokovic N.",5,62,1.14,5,"Clay",0,90,"Garcia-Lopez G.",1.14,5,5,62,1,1,0,1,0,0,1,44.6428571428571,45.0549450549451,100,1,0.8,1,0.4,1.6094379124341,4.12713438504509
"2007-05-05","Robredo T.","Djokovic N.","Djokovic N.",7,5,2,1.72,"Clay",0,150,"Robredo T.",1.72,2,5,7,1,1,0,1,0,0,1,70.3225806451613,62.9757785467128,100,1,0.8,1,0.8,1.6094379124341,1.94591014905531
"2007-05-06","Djokovic N.","Gasquet R.","Djokovic N.",5,15,1.66,2.2,"Clay",0,250,"Gasquet R.",1.66,2.2,5,15,1,1,0,1,0,0,1,61.5384615384615,64.0350877192982,100,1,0.8,1,0.8,1.6094379124341,2.70805020110221
"2007-05-09","Soderling R.","Djokovic N.","Djokovic N.",27,5,3.5,1.28,"Clay",0,90,"Soderling R.",1.28,3.5,5,27,1,1,0,1,0,0,1,45,56.6433566433566,50,1,1,1,0.6,1.6094379124341,3.29583686600433
"2007-05-10","Djokovic N.","Baghdatis M.","Djokovic N.",5,18,1.28,3.5,"Clay",0,180,"Baghdatis M.",1.28,3.5,5,18,1,1,0,1,0,0,1,53.8461538461538,55.5555555555556,50,1,1,1,0.8,1.6094379124341,2.89037175789616
"2007-05-11","Nadal R.","Djokovic N.","Nadal R.",2,5,1.07,8,"Clay",0,360,"Nadal R.",8,1.07,5,2,0,0,0,1,0,0,1,90.3508771929825,81.0055865921788,50,1,1,1,1,1.6094379124341,0.693147180559945
"2007-05-17","Djokovic N.","Benneteau J.","Djokovic N.",6,38,1.07,7.5,"Clay",0,90,"Benneteau J.",1.07,7.5,6,38,1,1,0,1,0,0,1,42.4242424242424,43.010752688172,50,0,0.8,1,0.6,1.79175946922805,3.63758615972639
"2007-05-17","Nieminen J.","Djokovic N.","Djokovic N.",23,6,4.33,1.2,"Clay",0,180,"Nieminen J.",1.2,4.33,6,23,1,1,0,1,0,0,1,62.9213483146067,57.7092511013216,100,1,0.8,1,0.4,1.79175946922805,3.13549421592915
"2007-05-18","Moya C.","Djokovic N.","Moya C.",36,6,3.4,1.33,"Clay",0,360,"Moya C.",1.33,3.4,6,36,0,1,0,1,0,0,0,73.0392156862745,69.0184049079755,100,1,0.8,1,0.6,1.79175946922805,3.58351893845611
"2007-05-30","Giraldo S.","Djokovic N.","Djokovic N.",123,6,11,1.03,"Clay",1,90,"Giraldo S.",1.03,11,6,123,1,1,0,1,0,0,1,0,0,50,0,0.6,0,0,1.79175946922805,4.81218435537242
"2007-05-31","Djokovic N.","Recouderc L.","Djokovic N.",6,306,1.01,13,"Clay",1,90,"Recouderc L.",1.01,13,6,306,1,1,0,1,0,0,1,100,100,50,1,0.6,1,0.2,1.79175946922805,5.72358510195238
"2007-06-02","Patience O.","Djokovic N.","Djokovic N.",129,6,9,1.05,"Clay",1,180,"Patience O.",1.05,9,6,129,1,1,0,1,0,0,1,41.6666666666667,40,50,1,0.8,1,0.6,1.79175946922805,4.85981240436167
